year,gross_income_€,single_males,single_males_total_gross_income_€m,single_females,single_females_total_gross_income_€m,married_couples_both_earning,married_couples_both_earning_total_gross_income_€m,married_couples_one_earning,married_couples_one_earning_total_gross_income_€m,widowers,widowers_total_gross_income_€m,widows,widows_total_gross_income_€m,all_taxpayers,all_taxpayers_total_gross_income_€m
2018,"Over 275,000","1,163",661.32,560,287.83,"4,898","2,416.43","4,827","2,992.22",129,90.21,123,58.01,"11,700","6,506.03"
2017,"0 - 10,000","186,313",888.26,"171,361",813.41,"91,849",512.6,"74,153",388.31,"1,118",5.57,"2,133",10.73,"526,927","2,618.88"
2017,"10,000 - 12,000","35,713",392.67,"34,508",379.79,"37,239",409.7,"32,054",350.04,501,5.57,"1,094",12.13,"141,109","1,549.91"
2017,"12,000 - 15,000","50,333",679.45,"50,388",680.57,"58,506",785.19,"41,715",548.51,"2,391",32.91,"7,537",104.36,"210,870","2,831.00"
2017,"15,000 - 17,000","33,219",531.42,"33,125",529.98,"35,132",562.07,"16,954",271.13,"1,931",30.82,"5,814",92.77,"126,175","2,018.17"
2017,"17,000 - 20,000","50,456",934.33,"50,417",933.1,"54,671","1,011.60","24,880",459.9,"2,398",44.25,"7,466",137.83,"190,288","3,521.01"
2017,"20,000 - 25,000","81,471","1,832.08","73,588","1,649.27","91,817","2,072.11","41,837",945.06,"3,205",71.77,"10,630",237.53,"302,548","6,807.81"
2017,"25,000 - 27,000","30,570",794.59,"24,095",626.09,"36,549",950.03,"18,439",479.37,"1,114",28.94,"3,463",89.98,"114,230","2,968.99"
2017,"27,000 - 30,000","42,616","1,213.59","32,743",932.91,"53,979","1,539.12","26,432",753.35,"1,621",46.14,"4,549",129.36,"161,940","4,614.48"
2017,"30,000 - 35,000","64,184","2,081.64","52,206","1,697.21","90,105","2,927.33","41,731","1,354.68","2,310",74.83,"5,796",187.62,"256,332","8,323.31"
2017,"35,000 - 40,000","45,712","1,706.94","41,818","1,559.86","75,596","2,825.85","35,355","1,322.28","1,905",71.26,"4,018",150.12,"204,404","7,636.30"
2017,"40,000 - 50,000","54,676","2,432.42","52,957","2,357.73","110,116","4,914.57","48,676","2,169.14","3,349",149.84,"5,798",258.42,"275,572","12,282.12"
