id,locationId,name,status,addressstreet,addresscity,addressstate,addresszip,addresscountryId,addresscountry,addressregionId,addressregion,gpslatitude,gpslongitude,dateOpened,stallCount,counted,elevationMeters,powerKilowatt,solarCanopy,battery,statusDays,urlDiscuss,hours
3734,findlayohsupercharger,"Findlay, OH",OPEN,1051 Interstate Ct,Findlay,OH,45840,100,USA,100,North America,41.059623,-83.671058,2021-11-13,8,true,238,250,false,false,0,true,
3722,SaintAugustinDeDesmauresQCsupercharger,"Cap-Rouge, QC",CONSTRUCTION,3373 Rue de l'Hétrière,Québec,QC,G3A 0M2,101,Canada,100,North America,46.763436,-71.371465,,8,true,44,250,false,false,195,true,
3723,niigatajpsupercharger,"Niigata, Japan",OPEN,"33-1 Seigoro, Chuo-ku",Niigata,Niigata,,114,Japan,102,Asia Pacific,37.87894306,139.06062177,2021-10-01,4,true,2,0,false,false,0,true,
3724,RasAlKhaimahaesupercharger,"Ras Al Khaimah, UAE",OPEN,Bin Daher Street - Dafan Al Nakheel,Ras Al Khaimah,,,134,United Arab Emirates,102,Asia Pacific,25.791492,55.966309,2021-09-30,8,true,3,250,false,false,0,true,
3725,gwangmyeongsupercharger,"Gwangmyeong, South Korea",OPEN,"U Planet 7, Yangji-ro",Gwangmyeong,Gyeonggi,,137,South Korea,102,Asia Pacific,37.41917204,126.88211751,2021-10-01,3,true,23,250,false,false,0,true,
3726,Castellonessupercharger,"Sagunto, Spain",OPEN,"Carrer Moreres, Spain 46500",Castellón,,,117,Spain,101,Europe,39.672915,-0.266301,2021-09-30,4,true,37,250,false,false,0,true,
3727,Modiinilsupercharger,"Modi'in, Israel",OPEN,HaMelahot Blvd 1,Modi'in,,7179555,157,Israel,102,Asia Pacific,31.889327,34.966824,2021-09-30,6,true,158,250,false,false,0,false,
3729,dongchunsupercharger,"Yeonsu - Dongchun, South Korea",OPEN,"825-25, Aam-daero, Yeonsu-gu,",Incheon,,,137,South Korea,102,Asia Pacific,37.3959939,126.663656,2021-10-01,8,true,17,250,false,false,0,true,
3731,singaporemilleniawalksupercharger,"Millenia Walk, Singapore",OPEN,9 Raffles Blvd,Singapore,,039596,156,Singapore,102,Asia Pacific,1.292839,103.859512,2021-09-30,3,true,5,250,false,false,0,true,
3728,Traleesupercharger,"Tralee, Ireland",OPEN,"BallyGarry House, Leebrook",Tralee,Kerry,V92 W279,124,Ireland,101,Europe,52.260697,-9.659135,2021-09-30,2,true,12,150,false,false,0,true,
2161,sindelsdorfsupercharger,"Sindelsdorf, Germany",OPEN,Urthal 4,Sindelsdorf,,82404,103,Germany,101,Europe,47.728161,11.362397,2019-11-22,12,true,599,250,false,false,0,true,
3733,tangiersupercharger,"Tangier, Morocco",OPEN,"Km 19.8, National Route 1 Tangier-Asilah",Tangier,,90100,158,Morocco,101,Europe,35.666766,-5.965788,2021-09-30,4,true,14,150,false,false,0,true,
3732,casablancamoroccosupercharger,"Casablanca, Morocco",OPEN,25 Bd Al Massira Al Khadra,Casablanca,,20250,158,Morocco,101,Europe,33.586723,-7.63895,2021-09-30,4,true,25,150,false,false,0,true,
3738,NorthConwayNHsupercharger,"North Conway, NH",OPEN,32 Mountain Valley Blvd,North Conway,NH,03860,100,USA,100,North America,44.020271,-71.113742,2021-12-23,8,true,149,250,false,false,0,true,
3746,DenisonTXsupercharger,"Denison, TX",OPEN,TX-91,Denison,TX,75020,100,USA,100,North America,33.793806,-96.554709,2021-11-24,8,true,208,250,false,false,0,true,
1060,hartsheadmoorwestsupercharger,"Hartshead Moor West, UK",OPEN,"24-25 M62, South",Brighouse,,HD6 4JX,108,United Kingdom,101,Europe,53.714315,-1.743758,2021-09-28,6,true,141,150,false,false,0,true,
3736,tottorijpsupercharger,"Tottori, Japan",OPEN,503 Sakaemachi,Tottori,Tottori,,114,Japan,102,Asia Pacific,35.49702496,134.22791351,2021-10-03,4,true,7,0,false,false,0,true,
3737,madrasorsupercharger,"Madras, OR",PERMIT,1575 US-97,Madras,OR,97741,100,USA,100,North America,44.614312,-121.134674,,8,true,724,250,false,false,192,true,
3742,normalileastcollegeavesupercharger,"Normal - E College Ave, IL",OPEN,1900 E College Ave,Normal,IL,61761,100,USA,100,North America,40.511235,-88.947814,2021-11-18,12,true,249,250,false,false,0,true,
3741,KimballTNSupercharger,"Kimball, TN",OPEN,300 Kimball Crossing Dr,Kimball,TN,37347,100,USA,100,North America,35.039825,-85.685066,2021-10-04,12,true,188,250,false,false,0,true,
3743,hinkenghksupercharger,"Hin Keng, Hong Kong",OPEN,"B/F, 69 Che Kung Miu Road, Tai Wai",Hong Kong,New Territories,,115,China,102,Asia Pacific,22.36392,114.17203,2021-10-05,3,true,8,250,false,false,0,true,
3721,johnsoncitytxus281supercharger,"Johnson City - US-281, TX",OPEN,405 US 281,Johnson City,TX,78636,100,USA,100,North America,30.269934,-98.398065,2021-11-24,8,true,365,250,false,false,0,true,
3745,jejusupercharger,"Jeju, South Korea",OPEN,"136, Yeonsam-ro",Jeju,Jeju,,137,South Korea,102,Asia Pacific,33.492611,126.5071,2021-10-06,8,true,76,250,false,false,0,true,
1360,woodbridgesupercharger,"Woodbridge, NJ",CLOSED_TEMP,440 King Georges Rd,Woodbridge,NJ,08857,100,USA,100,North America,40.535862,-74.297271,,8,true,40,120,false,false,22,true,
3730,,"Villach Ost, Austria",OPEN,Kleinsattelstraße 4,Villach,,9500,102,Austria,101,Europe,46.601793,13.882974,2021-10-27,6,true,501,250,false,false,0,false,
